DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2012-03-31;2453;2.01.03;2011-12-31;;645937000.0;953134000.0
2012-03-31;2453;2.01.04;2011-12-31;;7821060000.0;4788680000.0
2012-03-31;2453;2.01.05;2011-12-31;;2215467000.0;2309112000.0
2012-03-31;2453;2.01.06;2011-12-31;;25143000.0;19683000.0
2012-03-31;2453;2.01.07;2011-12-31;;0.0;0.0
2012-03-31;2453;2.02.01;2011-12-31;;7958009000.0;10632508000.0
2012-03-31;2453;2.02.02;2011-12-31;;3701980000.0;3665152000.0
2012-03-31;2453;2.02.03;2011-12-31;;1234024000.0;1182944000.0
2012-03-31;2453;2.02.04;2011-12-31;;549439000.0;598290000.0
2012-03-31;2453;2.03.01;2011-12-31;;3412073000.0;3412073000.0
2012-03-31;2453;2.03.02;2011-12-31;;3953850000.0;3953850000.0
2012-03-31;2453;2.03.04;2011-12-31;;3292871000.0;3292871000.0
2012-03-31;2453;3.01;;2011-03-31;3605609000.0;4148395000.0
2012-03-31;2453;3.02;;2011-03-31;-2200940000.0;-2525830000.0
2012-03-31;2453;3.03;;2011-03-31;1404669000.0;1622565000.0
2012-03-31;2453;3.04;;2011-03-31;-345207000.0;-420034000.0
2012-03-31;2453;3.05;;2011-03-31;1059462000.0;1202531000.0
2012-03-31;2453;3.06;;2011-03-31;-282819000.0;-262080000.0
2012-03-31;2453;3.07;;2011-03-31;776643000.0;940451000.0
2012-03-31;2453;3.08;;2011-03-31;-250492000.0;-309063000.0
2012-03-31;2453;3.09;;2011-03-31;526151000.0;631388000.0
2012-03-31;2453;3.11;;2011-03-31;526151000.0;631388000.0
2012-03-31;2453;5.01;;2011-03-31;11476133000.0;11744948000.0
2012-03-31;2453;5.03;;2011-03-31;11476133000.0;11744948000.0
2012-03-31;2453;5.07;;2011-03-31;12003107000.0;12374223000.0
2012-03-31;2453;6.01;;2011-03-31;753713000.0;938081000.0
2012-03-31;2453;6.02;;2011-03-31;-975915000.0;-1183061000.0
2012-03-31;2453;6.03;;2011-03-31;-24249000.0;-382766000.0
2012-03-31;2453;6.05;;2011-03-31;-246451000.0;-627746000.0
2012-03-31;2453;7.01;;2011-03-31;5225979000.0;6023992000.0
2012-03-31;2453;7.02;;2011-03-31;-1874121000.0;-2136058000.0
2012-03-31;2453;7.03;;2011-03-31;3351858000.0;3887934000.0
2012-03-31;2453;7.04.01;;2011-03-31;-232797000.0;-237551000.0
2012-03-31;2453;7.05;;2011-03-31;3119061000.0;3650383000.0
2012-03-31;2453;7.06;;2011-03-31;180534000.0;225330000.0
2012-03-31;2453;7.07;;2011-03-31;3299595000.0;3875713000.0
2012-03-31;2453;7.08;;2011-03-31;3299595000.0;3875713000.0
2012-03-31;20257;1.01;2011-12-31;;1556749000.0;1754579000.0
2012-03-31;20257;1.01.01;2011-12-31;;495406000.0;691090000.0
2012-03-31;20257;1.01.02;2011-12-31;;0.0;0.0
2012-03-31;20257;1.01.03;2011-12-31;;996845000.0;1004641000.0
2012-03-31;20257;1.01.04;2011-12-31;;3099000.0;3099000.0
2012-03-31;20257;1.02.01;2011-12-31;;4907087000.0;4832303000.0
2012-03-31;20257;1.02.02;2011-12-31;;0.0;0.0
2012-03-31;20257;1.02.03;2011-12-31;;13940000.0;14292000.0
2012-03-31;20257;1.02.04;2011-12-31;;6447000.0;6369000.0
2012-03-31;20257;2.01;2011-12-31;;1647891000.0;1703948000.0
2012-03-31;20257;2.01.02;2011-12-31;;33009000.0;14772000.0
2012-03-31;20257;2.01.03;2011-12-31;;13961000.0;19873000.0
2012-03-31;20257;2.01.04;2011-12-31;;1307947000.0;1378329000.0
2012-03-31;20257;2.01.05;2011-12-31;;292974000.0;290974000.0
2012-03-31;20257;2.01.06;2011-12-31;;0.0;0.0
2012-03-31;20257;2.01.07;2011-12-31;;0.0;0.0
2012-03-31;20257;2.02.01;2011-12-31;;2015405000.0;1989889000.0
2012-03-31;20257;2.02.02;2011-12-31;;33553000.0;38083000.0
2012-03-31;20257;2.02.03;2011-12-31;;533953000.0;526400000.0
2012-03-31;20257;2.02.04;2011-12-31;;949000.0;929000.0
2012-03-31;20257;2.03.01;2011-12-31;;1312536000.0;1312536000.0
2012-03-31;20257;2.03.02;2011-12-31;;594507000.0;594507000.0
2012-03-31;20257;2.03.04;2011-12-31;;345429000.0;345429000.0
2012-03-31;20257;3.01;;2011-03-31;157946000.0;234377000.0
2012-03-31;20257;3.02;;2011-03-31;-12129000.0;-19627000.0
2012-03-31;20257;3.03;;2011-03-31;145817000.0;214750000.0
2012-03-31;20257;3.04;;2011-03-31;-7046000.0;-14463000.0
2012-03-31;20257;3.05;;2011-03-31;138771000.0;200287000.0
2012-03-31;20257;3.06;;2011-03-31;-35769000.0;-64751000.0
2012-03-31;20257;3.07;;2011-03-31;103002000.0;135536000.0
2012-03-31;20257;3.08;;2011-03-31;-30168000.0;-39714000.0
2012-03-31;20257;3.09;;2011-03-31;72834000.0;95822000.0
2012-03-31;20257;3.11;;2011-03-31;72834000.0;95822000.0
2012-03-31;20257;5.01;;2011-03-31;2508354000.0;2252472000.0
